time,open,high,low,close,tick_volume,spread,real_volume
2020-09-27,1862.899,1916.982,1848.204,1898.723,16284,0,0
2020-10-04,1903.345,1930.444,1872.69,1930.147,18934,0,0
2020-10-11,1926.646,1933.178,1882.401,1898.825,17568,0,0
2020-10-18,1899.865,1931.281,1893.928,1901.602,14545,0,0
2020-10-25,1901.513,1911.271,1859.815,1878.858,25315,0,0
2020-11-01,1879.301,1960.238,1873.364,1951.855,12804,0,0
2020-11-08,1957.117,1965.419,1850.423,1889.358,14542,0,0
2020-11-15,1887.92,1899.0,1852.547,1870.923,11961,0,0
2020-11-22,1870.778,1875.988,1774.248,1786.94,9099,0,0
2020-11-29,1789.439,1847.886,1764.16,1839.01,12943,0,0
2020-12-06,1836.608,1875.208,1822.532,1839.55,15614,0,0
2020-12-13,1837.111,1896.101,1818.532,1881.271,10407,0,0
2020-12-20,1882.823,1906.667,1854.984,1879.016,10037,0,0
2020-12-27,1888.893,1900.29,1869.025,1894.387,12728,0,0
2021-01-03,1909.308,1959.29,1828.156,1849.37,17432,0,0
2021-01-10,1855.038,1863.726,1816.935,1826.975,24524,0,0
2021-01-17,1827.947,1874.996,1802.438,1855.732,42819,0,0
2021-01-24,1858.206,1875.519,1831.211,1847.839,11200,0,0
2021-01-31,1855.282,1871.716,1784.866,1814.135,22953,0,0
2021-02-07,1817.259,1855.299,1807.705,1824.229,12067,0,0
2021-02-14,1824.898,1826.927,1760.626,1784.049,14013,0,0
2021-02-21,1786.332,1815.906,1717.03,1734.649,17497,0,0
2021-02-28,1737.958,1759.715,1687.18,1700.836,14914,0,0
2021-03-07,1706.301,1739.804,1676.627,1726.749,20756,0,0
2021-03-14,1728.251,1755.478,1719.08,1745.127,12179,0,0
2021-03-21,1743.714,1745.401,1721.448,1732.329,14075,0,0
2021-03-28,1731.377,1732.835,1677.835,1729.75,9007,0,0
2021-04-04,1728.462,1758.645,1721.285,1743.842,12454,0,0
2021-04-11,1742.481,1783.789,1723.591,1776.523,11966,0,0
2021-04-18,1775.64,1797.756,1763.547,1777.023,12386,0,0
2021-04-25,1775.596,1789.896,1755.874,1768.776,10320,0,0
2021-05-02,1767.058,1843.262,1766.046,1830.979,10884,0,0
2021-05-09,1832.896,1845.923,1808.675,1843.486,13203,0,0
2021-05-16,1843.784,1889.786,1843.54,1881.659,11957,0,0
2021-05-23,1880.985,1912.616,1872.613,1903.706,11639,0,0
2021-05-30,1903.805,1916.446,1855.573,1891.138,9714,0,0
2021-06-06,1889.994,1903.673,1869.798,1877.401,10128,0,0
2021-06-13,1876.16,1877.608,1760.86,1764.562,13207,0,0
2021-06-20,1768.728,1794.85,1766.444,1781.361,11639,0,0
2021-06-27,1781.264,1794.983,1750.621,1787.446,10662,0,0
2021-07-04,1787.277,1818.312,1784.426,1808.222,9791,0,0
2021-07-11,1808.049,1834.039,1791.409,1812.007,9551,0,0
2021-07-18,1811.224,1824.88,1789.193,1802.126,13397,0,0
2021-07-25,1802.274,1832.548,1792.394,1813.934,10275,0,0
2021-08-01,1814.431,1831.657,1758.355,1763.819,12137,0,0
2021-08-08,1761.426,1779.901,1686.784,1779.509,115591,0,0
2021-08-15,1779.017,1795.519,1770.84,1781.235,18865,0,0
2021-08-22,1781.378,1819.125,1776.413,1816.778,17587,0,0
2021-08-29,1817.936,1833.859,1801.544,1827.573,15109,0,0
2021-09-05,1828.089,1830.149,1782.3,1787.614,21593,0,0
2021-09-12,1787.288,1808.59,1745.019,1754.536,17657,0,0
2021-09-19,1754.698,1787.164,1737.392,1750.494,22522,0,0
2021-09-26,1750.033,1764.191,1721.571,1760.466,16371,0,0
2021-10-03,1760.954,1781.292,1745.822,1757.212,18357,0,0
2021-10-10,1757.272,1800.406,1750.128,1767.427,25419,0,0
2021-10-17,1766.961,1813.56,1760.276,1792.853,14660,0,0
2021-10-24,1792.926,1810.38,1771.896,1783.296,6886,200,0
2021-10-31,1783.269,1818.269,1758.534,1818.127,6886,200,0
2021-11-07,1815.75,1868.574,1812.403,1864.361,6889,200,0
2021-11-14,1866.804,1877.067,1842.815,1846.196,6886,200,0
